employee_id,department,department_position,employment_type,job_type,job_location,years_at_company,yearly_salary,termination_status
E02541,Sales,Analist,Fulltime,  Hybrid ,CHICAGO,9,89263,Active
E03248,Sales,  Analyst ,Prt Time,Hybrid,chicago,8,85946,Activ
E02941,Slaes,ANALYST,Part Time,Hybrid,Chicago,20,86771,ACTiVE
E03771,  Sales ,Analist,Part Time,Remote,  Chicago ,18,89670,Active
E02280,SALES,  Analyst ,Part Time,  In Person ,Chicago,2,85263,active
E02466,  Engineering ,Analyst,full time,Hybrid ,Chicago,11,93380,Active
E01011,  Marketing ,  Analyst ,Full Time,In Person,chicago,19,88827,Active
E02409,Hr,  Analyst ,Prt Time,  remote ,  Chicago ,18,98589,ACTiVE
E02166,  MARKETING ,Analyst,Parttime,Remote,Chicago,9,96609,  Active 
E01194,  It ,Anlyst,Prt Time,In Persn,CHICAGO,2,95594,Inactive
E02416,Marketing,  Analyst ,  Part Time ,In Person,  Chicago ,11,97194,Activ
E00025,  finance ,Analyst,Fll Time,HYBRID,Chicago,4,99426,  Active 
E01223,It,  Analyst ,  Full Time ,HYBRID,  Chicago ,15,90916,active
E00975,Marketing,  Analyst ,Full Time,HYBRID,CHICAGO,10,99023,Actve
E02445,H.R.,Anlyst,full time,Remote,Chicago,15,91589,ACTIVE
E02666,Sales,  Analyst ,Parttime,In Person,Chicago,9,85131,ACTiVE
E02429,MArketing,Analyst,Part Time,In Persn,Chicago,13,97513,INACTIVE
E02956,  FINANCE ,Analyst,PART TIME,  In Person ,  Chicago ,11,95756,  Inactive 
E02957,Markting,  Analyst ,Prt Time,in person,Chicago,5,95622,INACTIVE
E00986,It,analyst,Fll Time,hybrid,  Chicago ,11,89919,active
E01960,Sales,  Analyst ,  Full Time ,  Hybrid ,  CHICAGO ,6,98620,Active
E02234,Marketing,Analyst,  Part Time ,  Hybrid ,  Chicago ,1,93878,active
E01230,  Sales ,  analyst ,Full Time,Hybrid,  Chicago ,1,89014,  Active 
E00782,Finance,  Analyst ,  Full Time ,  hybrid ,Chicago,8,95250,Active
E01614,  Finance ,Analyst,Full Time,in person,Chicago,20,98215,  Inactive 
E02653,HR,  Analyst ,Full Time,  Hybrid ,Chicago,9,87921,INACTiVE
E00791,IT,  Analyst ,  Part Time ,  Remote ,  Chicago ,12,85284,Active
E02154,marketing,analyst,PART TIME,In Persn,CHICAGO,11,98045,Active
E03526,  Sales ,analyst,Part Time,Hybrid,Chicago,1,98771,ACTIVE
E02753,It,Analist,Part Time,IN PERSON,Chicgo,11,85820,  Inactive 
E01515,HR,Analyst,  Part Time ,Remot,  Chicago ,6,90577,ACTiVE
E03951,It,Anlyst,Full Time,  Hybrid ,Chicaco,10,89435,Inactive
E00016,I.T.,  Analyst ,  Part Time ,Remote,Chicaco,5,85877,ACTiVE
E03949,Finacne,  Analyst ,  part time ,In Person,Chicaco,5,97965,Active
E00807,  ENGINEERING ,  Analyst ,  Part Time ,In Persn,CHICAGO,8,95780,Active
E00624,  It ,Analyst,  Part Time ,hybrid,Chicago,16,86244,Activ
E01459,  Hr ,  Analyst ,  Full Time ,hybrid,Chicgo,15,93175,  Active 
E03342,  Finance ,  Analyst ,Part Time,Inperson,Chicago,16,98005,Active
E01626,H.R.,Analist,PART TIME,Remote,Chicago,16,90014,  Active 
E00815,It,Anlyst,  Full Time ,Remot,  Chicago ,7,90824,Activ
E00079,Marketing,  Analyst ,part time,Remote,  Chicago ,9,93070,Active
E00816,IT,ANALYST,Full Time,  In Person ,  Chicago ,14,94611,Active
E02851,  Finance ,analyst,Part Time,In Person,  Chicago ,4,93261,Active
E01722,finance,  Analyst ,  PART TIME ,In Person,Chicago,20,90853,Active
E03483,  Marketing ,analyst,Full Time,Hybrid,Chicago,17,88855,  Active 
E03182,Hr,  Analyst ,  Full Time ,  Hybrid ,  Chicago ,6,91708,active
E00497,it,Analist,FULL TIME,Remot,Chicago,2,92808,Active
E01244,Sales,Analyst,full time,hybrid,chicago,5,91026,  Active 
E03034,Sales,Analist,Parttime,In Persn,Chicago,2,85237,  Active 
E02862,  Marketing ,Analyst,  Part Time ,  Remote ,Chicago,5,87507,Actve
E00096,Enginerring,Anlyst,Full Time,Remote,  CHICAGO ,17,92535,  INACTIVE 
E02589,Finance,Anlyst,  Full Time ,  Hybrid ,Chicgo,18,92987,inactive
E03608,Engineering,Analyst,  Part Time ,Hybrid,Chicaco,8,87550,  Active 
E00483,  HR ,Anlyst,  Full Time ,  Remote ,CHICAGO,10,99857,Activ
E01048,IT,analyst,  Full Time ,  REMOTE ,Chicago,11,92552,  Active 
E01763,  Marketing ,Analyst,Part Time,  Hybrid ,  chicago ,6,98832,  Inactive 
E02572,  Finance ,Analyst,  Part Time ,Hybrid,  Chicago ,11,98364,  Inactive 
E00468,ENGINEERING,Anlyst,  Part Time ,hybrid,Chicago,20,89559,Active
E00464,Saless,  Analyst ,  Full Time ,Remot,Chicago,11,98355,Actve
E02566,hr,Anlyst,  Part Time ,Remote,Chicago,10,92432,Inactve
E01610,MArketing,Analyst,  Part Time ,  Hybrid ,Chicaco,16,93175,  active 
E01554,Sales,  Analyst ,Part Time,Hyrid,  Chicago ,14,91957,  Active 
E01276,  Engineering ,  Analyst ,  full time ,HYBRID,Chicaco,20,95975,Active
E02112,Finacne,Analyst,  Part Time ,  HYBRID ,CHICAGO,13,97492,Activ
E02886,It,Anlyst,Part Time,in person,Chicago,19,90502,Active
E03491,marketing,ANALYST,Prt Time,In Person,CHICAGO,4,98357,active
E01642,ENGINEERING,Anlyst,Full Time,  Remote ,  Chicago ,7,85961,Activ
E00870,  Finance ,analyst,PART TIME,Remote,Chicago,9,92279,  Active 
E01210,Engineering,  ANALYST ,Full Time,  In Person ,Chicgo,15,89068,Active
E00873,It,  Analyst ,Full Time,Remot,Chicago,10,95114,  Inactive 
E01616,HR,analyst,Fll Time,remote,Chicago,3,91475,  Active 
E01110,Finance,analyst,Fll Time,Hyrid,  Chicago ,9,87357,Actve
E03898,Sales,Anlyst,Part Time,Remote,  Chicago ,5,87261,ACTiVE
E00745,  Finance ,Anlyst,  FULL TIME ,  in person ,  Chicago ,16,91278,  Active 
E01501,  Sales ,Anlyst,Part Time,Hybrid ,Chicaco,11,97855,ACTIVE
E00883,Engineering,  Analyst ,  Part Time ,In Person,Chicago,3,90581,INACTiVE
E01027,engineering,ANALYST,Part Time,Remtoe,Chicago,18,93147,Actve
E02980,Sales,Analyst,Part Time,In Person,  Chicago ,13,88269,  active 
E01816,  Marketing ,  analyst ,PART TIME,Hybrid ,Chicgo,2,92496,  inactive 
E00609,H.R.,  Analyst ,FULL TIME,Hybrid,chicago,3,85311,ACTIVE
E01817,Hr,  Analyst ,  PART TIME ,HYBRID,chicago,8,89482,ACTiVE
E03890,  Engineering ,Analyst,Fulltime,In Person,  Chicago ,7,89551,  Active 
