"employee_id","management_satisfaction","work_life_balance_satisfaction","work_environment_satisfaction","compensation_satisfaction"
"E00001","1","5","5","4"
"E00002","1","2","4","3"
"E00003","2","2","4","3"
"E00004","1","3","2","2"
"E00005","4","1","2","1"
"E00006","2","2","3","1"
"E00007","2","2","1","2"
"E00008","4","2","3","3"
"E00009","4","1","1","5"
"E00010","2","2","4","3"
"E00011","4","1","3","4"
"E00012","4","2","4","1"
"E00013","4","2","2","4"
"E00014","2","4","4","3"
"E00015","1","5","5","1"
"E00016","3","5","3","3"
"E00017","2","4","1","3"
"E00018","3","2","4","2"
"E00019","4","3","3","1"
"E00020","4","1","1","3"
"E00021","4","4","3","5"
"E00022","4","4","3","5"
"E00023","3","4","5","3"
"E00024","2","4","4","2"
"E00025","2","5","5","3"
"E00026","1","2","2","5"
"E00027","3","4","3","1"
"E00028","4","4","4","2"
"E00029","5","4","2","3"
"E00030","1","3","2","5"
"E00031","1","3","5","1"
"E00032","5","1","2","5"
"E00033","2","2","1","2"
"E00034","2","4","1","4"
"E00035","2","1","1","3"
"E00036","5","1","2","1"
"E00037","4","2","3","2"
"E00038","4","3","4","2"
"E00039","3","2","1","4"
"E00040","3","1","1","4"
"E00041","2","2","1","3"
"E00042","5","3","5","3"
"E00043","1","1","5","2"
"E00044","4","2","1","3"
"E00045","5","4","1","3"
"E00046","3","4","5","4"
"E00047","4","2","4","2"
"E00048","4","2","3","5"
"E00049","5","3","4","5"
"E00050","3","1","3","1"
"E00051","5","2","2","4"
"E00052","1","1","2","1"
"E00053","4","4","4","2"
"E00054","5","1","5","5"
"E00055","5","5","1","5"
"E00056","1","3","2","5"
"E00057","5","3","5","1"
"E00058","4","1","5","3"
"E00059","2","3","3","1"
"E00060","2","1","2","5"
"E00061","3","1","4","4"
"E00062","1","4","5","4"
"E00063","3","1","4","1"
"E00064","2","3","4","1"
"E00065","1","5","2","2"
"E00066","5","2","4","1"
"E00067","4","3","4","1"
"E00068","4","5","1","5"
"E00069","2","3","4","3"
"E00070","5","5","1","5"
"E00071","1","3","2","3"
"E00072","5","2","4","5"
"E00073","3","4","1","5"
"E00074","3","4","4","2"
"E00075","3","2","1","3"
"E00076","3","3","5","5"
"E00077","3","5","2","5"
"E00078","4","1","3","3"
"E00079","3","3","3","2"
"E00080","4","2","1","3"
"E00081","4","4","2","2"
"E00082","5","4","2","2"
"E00083","1","3","4","4"
"E00084","3","5","3","2"
"E00085","1","2","4","4"
"E00086","2","2","2","1"
"E00087","4","5","1","2"
"E00088","2","5","1","3"
"E00089","4","3","5","4"
"E00090","3","3","1","1"
"E00091","2","4","3","1"
"E00092","5","4","5","2"
"E00093","2","5","3","3"
"E00094","4","1","4","2"
"E00095","4","1","4","5"
"E00096","1","1","1","1"
"E00097","2","2","5","5"
"E00098","5","3","3","5"
"E00099","3","5","3","4"
"E00100","4","4","2","5"
"E00101","2","1","1","1"
"E00102","1","4","4","1"
"E00103","2","3","2","3"
"E00104","3","5","4","2"
"E00105","3","1","4","3"
"E00106","5","1","3","3"
"E00107","1","5","4","2"
"E00108","5","4","5","1"
"E00109","2","3","4","4"
"E00110","3","3","5","5"
"E00111","3","3","4","4"
"E00112","4","4","2","5"
"E00113","4","4","3","2"
"E00114","5","1","2","2"
"E00115","1","4","3","3"
"E00116","2","2","2","2"
"E00117","5","5","1","5"
"E00118","3","4","4","4"
"E00119","3","3","4","4"
"E00120","3","4","1","4"
"E00121","2","1","1","4"
"E00122","5","5","5","3"
"E00123","2","5","2","4"
"E00124","4","3","4","5"
"E00125","4","5","5","3"
"E00126","5","2","4","3"
"E00127","4","5","1","3"
"E00128","5","3","5","2"
"E00129","3","5","5","3"
"E00130","4","4","5","5"
"E00131","4","1","2","4"
"E00132","5","4","5","2"
"E00133","4","2","4","4"
"E00134","4","2","2","1"
"E00135","3","1","4","2"
"E00136","5","1","5","5"
"E00137","5","1","5","2"
"E00138","1","1","4","3"
"E00139","5","5","3","2"
"E00140","3","4","5","3"
"E00141","4","2","5","4"
"E00142","1","5","2","2"
"E00143","4","1","4","2"
